incident_id,case_number,incident_datetime,incident_type_primary,incident_description,clearance_type,address_1,address_2,city,state,zip,country,latitude,longitude,created_at,updated_at,location,hour_of_day,day_of_week,parent_incident_type
14201646,09-2420028,08/30/2009 12:50:00 AM,ASSAULT,Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.,,2000 Block GENESEE ST,,BUFFALO,NY,,US,42.91520579045061,-78.80664895555917,08/31/2009 01:00:56 AM,09/24/2019 10:29:32 PM,POINT (-78.80664895555917 42.91520579045061),0,Sunday,Assault
41323314,10-2060251,07/25/2010 04:09:00 AM,ASSAULT,Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.,,1 Block FRANKLIN ST,,BUFFALO,NY,,US,42.91442609520883,-78.83837719624712,07/26/2010 12:05:35 AM,09/24/2019 10:24:38 PM,POINT (-78.83837719624712 42.91442609520883),4,Sunday,Assault
91921988,12-0010480,01/01/2012 05:00:31 AM,ASSAULT,Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.,,500 Block MAIN ST,,BUFFALO,NY,14203,,42.890082,-78.87291689999999,01/02/2012 07:00:06 AM,09/24/2019 04:05:25 PM,POINT (-78.87291689999999 42.890082),5,Sunday,Assault
31247380,10-0940892,04/04/2010 11:00:00 PM,ASSAULT,Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.,,1300 BLOCK E FERRY ST,,BUFFALO,NY,,US,42.91488,-78.81531,04/06/2010 12:01:04 AM,09/24/2019 10:26:20 PM,POINT (-78.81531 42.91488),23,Sunday,Assault
10090107,09-0530421,02/22/2009 02:00:00 PM,ASSAULT,Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.,,100 Block TROWBRIDGE ST,,BUFFALO,NY,,US,42.852194958647814,-78.82562777962801,05/29/2009 09:46:19 AM,09/24/2019 10:32:51 PM,POINT (-78.82562777962801 42.852194958647814),14,Sunday,Assault
22183769,09-3480014,12/13/2009 01:30:00 AM,ASSAULT,Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.,,1 Block ROANOKE PW,,BUFFALO,NY,,US,42.86078311823388,-78.81242045389733,12/15/2009 01:01:53 AM,09/24/2019 10:27:19 PM,POINT (-78.81242045389733 42.86078311823388),1,Sunday,Assault
63527563,11-1140149,04/24/2011 03:50:00 AM,ASSAULT,Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.,,W CHIPPEWA ST & DELAWARE AV,,BUFFALO,NY,,,42.894811738199415,-78.88195936471791,04/25/2011 06:00:36 AM,10/10/2019 07:21:50 PM,POINT (-78.88195936471791 42.894811738199415),3,Sunday,Assault
290031419,13-3140838,11/10/2013 10:00:00 PM,ASSAULT,Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.,,1 Block WINTER ST,,BUFFALO,NY,,,42.91400120667849,-78.88865947744927,11/12/2013 07:02:35 AM,09/24/2019 04:13:52 PM,POINT (-78.88865947744927 42.91400120667849),22,Sunday,Assault
45203287,10-2410312,08/29/2010 07:30:00 AM,ASSAULT,Buffalo Police are investigating this report of a crime. It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.,,200 Block GLENWOOD AV,,BUFFALO,NY,null,US,42.912415,-78.8576783,08/30/2010 12:01:06 AM,10/25/2010 07:38:19 AM,POINT (-78.857678 42.912415),7,Sunday,Assault
17162903,09-2840494,10/11/2009 01:59:00 PM,ASSAULT,Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.,,200 Block EAGLE,,BUFFALO,NY,,US,42.88250429652748,-78.86619190454506,10/12/2009 01:00:23 AM,09/24/2019 10:29:12 PM,POINT (-78.86619190454506 42.88250429652748),13,Sunday,Assault
