longitude,latitude,track_fid,track_seg_id,track_seg_point_id,ele,time,magvar,geoidheight,name,cmt,desc,src,link1_href,link1_text,link1_type,link2_href,link2_text,link2_type,sym,type,fix,sat,hdop,vdop,pdop,ageofdgpsdata,dgpsid
-78.7870111859037,43.0053595920711,0,0,0,175.990676879883,2020/10/30 18:28:02+00,,,,,,,,,,,,,,,,,,,,,
-78.7890545080498,43.003862762627,0,0,1,177.332593947189,2020/10/30 18:28:04+00,,,,,,,,,,,,,,,,,,,,,
-78.789060595495,43.0038297389526,0,0,2,178.372495059636,2020/10/30 18:28:05+00,,,,,,,,,,,,,,,,,,,,,
-78.788998574961,43.0037858678335,0,0,3,177.383048365669,2020/10/30 18:28:06+00,,,,,,,,,,,,,,,,,,,,,
-78.7889813688809,43.0037932386359,0,0,4,177.050902236147,2020/10/30 18:28:07+00,,,,,,,,,,,,,,,,,,,,,
-78.7890164738729,43.0038008413718,0,0,5,176.227878048516,2020/10/30 18:28:09+00,,,,,,,,,,,,,,,,,,,,,
-78.7890333307526,43.0038178539468,0,0,6,175.998363462925,2020/10/30 18:28:10+00,,,,,,,,,,,,,,,,,,,,,
-78.7890465802056,43.0038426919905,0,0,7,176.404833831775,2020/10/30 18:28:12+00,,,,,,,,,,,,,,,,,,,,,
-78.7890525416454,43.0038787975876,0,0,8,176.243431099152,2020/10/30 18:28:14+00,,,,,,,,,,,,,,,,,,,,,
-78.7890524929519,43.0038975457511,0,0,9,176.082254007297,2020/10/30 18:28:15+00,,,,,,,,,,,,,,,,,,,,,
-78.7890630597424,43.0039175623399,0,0,10,176.175212671049,2020/10/30 18:28:17+00,,,,,,,,,,,,,,,,,,,,,
-78.7890669070794,43.003935558584,0,0,11,176.154450341128,2020/10/30 18:28:18+00,,,,,,,,,,,,,,,,,,,,,
-78.7890707832241,43.0039525739058,0,0,12,176.066027685069,2020/10/30 18:28:19+00,,,,,,,,,,,,,,,,,,,,,
-78.7890824029097,43.0039699695712,0,0,13,175.95957679674,2020/10/30 18:28:20+00,,,,,,,,,,,,,,,,,,,,,
-78.7890979257466,43.0039898181422,0,0,14,175.857586793602,2020/10/30 18:28:22+00,,,,,,,,,,,,,,,,,,,,,
-78.7891015897908,43.004019343865,0,0,15,175.96162432339,2020/10/30 18:28:24+00,,,,,,,,,,,,,,,,,,,,,
-78.7891094273846,43.0040459276828,0,0,16,175.849721278995,2020/10/30 18:28:26+00,,,,,,,,,,,,,,,,,,,,,
-78.7891152941661,43.0040739220334,0,0,17,175.664377745241,2020/10/30 18:28:28+00,,,,,,,,,,,,,,,,,,,,,
-78.7891286222583,43.0040986168459,0,0,18,175.628560326993,2020/10/30 18:28:30+00,,,,,,,,,,,,,,,,,,,,,
-78.7891364191002,43.0041098379814,0,0,19,175.503090308048,2020/10/30 18:28:31+00,,,,,,,,,,,,,,,,,,,,,
-78.7891474982463,43.0041319457903,0,0,20,175.76328727603,2020/10/30 18:28:33+00,,,,,,,,,,,,,,,,,,,,,
-78.7891476029034,43.0041537845912,0,0,21,175.651360878721,2020/10/30 18:28:36+00,,,,,,,,,,,,,,,,,,,,,
-78.7891724166935,43.0041609833531,0,0,22,175.443289432675,2020/10/30 18:28:38+00,,,,,,,,,,,,,,,,,,,,,
-78.7891787936527,43.0041812182521,0,0,23,175.026086947881,2020/10/30 18:28:40+00,,,,,,,,,,,,,,,,,,,,,
-78.7891982429147,43.0042026414391,0,0,24,174.907398755662,2020/10/30 18:28:42+00,,,,,,,,,,,,,,,,,,,,,
-78.7892231414989,43.0042132878802,0,0,25,174.659250505269,2020/10/30 18:28:44+00,,,,,,,,,,,,,,,,,,,,,
-78.7892508403342,43.0042256508074,0,0,26,174.388264709152,2020/10/30 18:28:46+00,,,,,,,,,,,,,,,,,,,,,
-78.7892823172515,43.0042428236266,0,0,27,174.36476381775,2020/10/30 18:28:48+00,,,,,,,,,,,,,,,,,,,,,
-78.7893146732374,43.0042492373224,0,0,28,174.106438290328,2020/10/30 18:28:50+00,,,,,,,,,,,,,,,,,,,,,
-78.7893540518022,43.0042537222011,0,0,29,175.719841495156,2020/10/30 18:28:52+00,,,,,,,,,,,,,,,,,,,,,
-78.7893844593337,43.0042560430789,0,0,30,173.880508450791,2020/10/30 18:28:54+00,,,,,,,,,,,,,,,,,,,,,
-78.7893956435966,43.0042810716123,0,0,31,174.317033568397,2020/10/30 18:28:57+00,,,,,,,,,,,,,,,,,,,,,
-78.789390152756,43.004310678605,0,0,32,173.209423544817,2020/10/30 18:28:59+00,,,,,,,,,,,,,,,,,,,,,
-78.7893904843619,43.004340672936,0,0,33,174.320408467203,2020/10/30 18:29:01+00,,,,,,,,,,,,,,,,,,,,,
-78.789388693688,43.0043628672968,0,0,34,174.320314701647,2020/10/30 18:29:03+00,,,,,,,,,,,,,,,,,,,,,
-78.7893909647149,43.0043876414822,0,0,35,176.251326091588,2020/10/30 18:29:05+00,,,,,,,,,,,,,,,,,,,,,
-78.789389450372,43.0044106509691,0,0,36,175.4171297336,2020/10/30 18:29:07+00,,,,,,,,,,,,,,,,,,,,,
